Birth: Speed: 4.74 | Color: (np.int64(50), np.int64(247), np.int64(219))
Birth: Speed: 1.85 | Color: (np.int64(221), np.int64(60), np.int64(134))
Birth: Speed: 6.29 | Color: (np.int64(193), np.int64(194), np.int64(224))
Birth: Speed: 8.00 | Color: (np.int64(200), np.int64(111), np.int64(241))
Birth: Speed: 5.63 | Color: (np.int64(213), np.int64(98), np.int64(214))
Birth: Speed: 0.97 | Color: (np.int64(211), np.int64(194), np.int64(72))
Birth: Speed: 1.12 | Color: (np.int64(220), np.int64(204), np.int64(69))
Birth: Speed: 14.68 | Color: (np.int64(135), np.int64(161), np.int64(114))
Birth: Speed: 2.86 | Color: (np.int64(134), np.int64(136), np.int64(63))
Birth: Speed: 1.48 | Color: (np.int64(188), np.int64(69), np.int64(191))
Birth: Speed: 7.08 | Color: (np.int64(101), np.int64(207), np.int64(153))
Birth: Speed: 4.89 | Color: (np.int64(58), np.int64(255), np.int64(214))
Birth: Speed: 1.85 | Color: (np.int64(226), np.int64(67), np.int64(134))
Birth: Speed: 7.19 | Color: (np.int64(203), np.int64(191), np.int64(218))
Birth: Speed: 11.36 | Color: (np.int64(192), np.int64(108), np.int64(229))
Birth: Speed: 5.22 | Color: (np.int64(216), np.int64(97), np.int64(218))
Birth: Speed: 0.94 | Color: (np.int64(199), np.int64(192), np.int64(78))
Birth: Speed: 0.95 | Color: (np.int64(219), np.int64(202), np.int64(56))
Birth: Speed: 14.39 | Color: (np.int64(139), np.int64(173), np.int64(123))
Birth: Speed: 2.61 | Color: (np.int64(146), np.int64(134), np.int64(64))
Birth: Speed: 1.42 | Color: (np.int64(180), np.int64(72), np.int64(190))
Birth: Speed: 7.20 | Color: (np.int64(99), np.int64(198), np.int64(162))
Birth: Speed: 4.06 | Color: (np.int64(60), np.int64(250), np.int64(211))
Birth: Speed: 1.89 | Color: (np.int64(229), np.int64(82), np.int64(134))
Birth: Speed: 7.11 | Color: (np.int64(199), np.int64(195), np.int64(209))
Birth: Speed: 8.00 | Color: (np.int64(206), np.int64(98), np.int64(230))
Birth: Speed: 4.30 | Color: (np.int64(223), np.int64(112), np.int64(210))
Birth: Speed: 0.74 | Color: (np.int64(199), np.int64(183), np.int64(72))
Birth: Speed: 0.83 | Color: (np.int64(231), np.int64(197), np.int64(67))
Birth: Speed: 8.00 | Color: (np.int64(130), np.int64(165), np.int64(118))
Birth: Speed: 2.69 | Color: (np.int64(156), np.int64(147), np.int64(60))
Birth: Speed: 1.63 | Color: (np.int64(192), np.int64(70), np.int64(194))
Birth: Speed: 7.11 | Color: (np.int64(106), np.int64(199), np.int64(164))
Birth: Speed: 3.73 | Color: (np.int64(54), np.int64(253), np.int64(204))
Birth: Speed: 3.58 | Color: (np.int64(237), np.int64(85), np.int64(134))
